iter	Passed	Remaining
403	8694	12825
404	8714	12802
405	8732	12775
406	8755	12757
407	8775	12732
408	8801	12717
409	8820	12692
410	8840	12669
411	8860	12645
412	8880	12621
413	8899	12596
414	8918	12571
415	8938	12547
416	8956	12522
417	8979	12502
418	8998	12477
419	9018	12453
420	9037	12429
421	9056	12404
422	9075	12380
423	9095	12355
424	9114	12331
425	9133	12306
426	9151	12281
427	9171	12257
428	9194	12238
429	9214	12213
430	9232	12188
431	9252	12164
432	9271	12140
433	9290	12115
434	9310	12092
435	9333	12073
436	9352	12048
437	9371	12024
438	9391	12001
439	9410	11977
440	9429	11952
441	9453	11934
442	9471	11909
443	9492	11887
444	9513	11865
445	9534	11843
446	9553	11819
447	9573	11795
448	9597	11777
449	9616	11752
450	9635	11729
451	9654	11704
452	9674	11682
453	9697	11663
454	9716	11638
455	9736	11615
456	9754	11589
457	9773	11566
458	9792	11541
459	9811	11517
460	9830	11493
461	9848	11468
462	9867	11444
463	9889	11424
464	9908	11400
465	9930	11379
466	9948	11354
467	9967	11330
468	9986	11306
469	10005	11282
470	10024	11259
471	10044	11235
472	10065	11214
473	10085	11191
474	10104	11167
475	10122	11143
476	10140	11118
477	10163	11099
478	10184	11077
479	10203	11053
480	10221	11029
481	10239	11004
482	10258	10980
483	10276	10955
484	10295	10932
485	10314	10908
486	10334	10885
487	10353	10862
488	10375	10841
489	10394	10818
490	10412	10794
491	10433	10772
492	10451	10748
493	10470	10724
494	10489	10701
495	10511	10680
496	10531	10658
497	10550	10635
498	10569	10611
499	10589	10589
500	10608	10566
501	10627	10543
502	10645	10518
503	10673	10503
504	10696	10485
505	10715	10461
506	10734	10438
507	10756	10417
508	10777	10396
509	10797	10374
510	10816	10350
511	10835	10327
512	10853	10303
513	10872	10279
514	10890	10256
515	10910	10233
516	10934	10215
517	10953	10192
518	10972	10168
519	10990	10145
520	11011	10123
521	11032	10102
522	11051	10079
523	11070	10056
524	11089	10033
525	11108	10010
526	11127	9987
527	11146	9964
528	11168	9944
529	11187	9921
530	11206	9898
531	11226	9875
532	11245	9853
533	11265	9830
534	11287	9810
535	11306	9787
536	11325	9765
537	11344	9742
538	11367	9722
539	11386	9699
540	11406	9677
541	11424	9654
542	11443	9631
543	11462	9608
544	11481	9585
545	11501	9563
546	11524	9543
547	11544	9521
548	11563	9498
549	11585	9479
550	11606	9458
551	11624	9434
552	11644	9412
553	11663	9389
554	11682	9367
555	11701	9344
556	11721	9322
557	11743	9302
558	11762	9279
559	11781	9256
560	11800	9234
561	11818	9211
562	11837	9187
563	11857	9166
564	11877	9144
565	11896	9121
566	11915	9099
567	11934	9076
568	11955	9056
569	11974	9033
570	11993	9010
571	12012	8988
572	12032	8966
573	12051	8944
574	12069	8921
575	12088	8898
576	12106	8875
577	12124	8852
578	12143	8829
579	12161	8806
580	12181	8784
581	12200	8762
582	12218	8739
583	12237	8717
584	12256	8694
585	12275	8672
586	12294	8650
587	12313	8627
588	12331	8605
589	12358	8587
590	12377	8565
591	12401	8546
592	12419	8524
593	12450	8509
594	12472	8489
595	12490	8466
596	12509	8444
597	12527	8421
598	12545	8398
599	12563	8375
600	12583	8354
601	12606	8334
602	12624	8311
603	12642	8288
604	12661	8266
605	12679	8243
606	12697	8220
607	12715	8198
608	12734	8175
609	12752	8153
610	12770	8130
611	12788	8107
612	12811	8087
613	12829	8065
614	12848	8043
615	12867	8021
616	12885	7998
617	12904	7976
618	12922	7954
619	12941	7932
620	12960	7909
621	12979	7888
622	12998	7865
623	13016	7843
624	13035	7821
625	13054	7799
626	13073	7777
627	13092	7755
628	13110	7732
629	13130	7711
630	13148	7689
631	13167	7667
632	13186	7645
633	13205	7623
634	13223	7600
635	13246	7581
636	13265	7559
637	13284	7537
638	13304	7516
639	13324	7495
640	13348	7475
641	13368	7454
642	13387	7432
643	13406	7410
