,MARKET_TYPE,USER_TYPE,PRICE,AREA,ROOMS_NUM,BUILD_YEAR,FLOOR_NUMBER,BUILDING_FLOORS_NUM,BUILDING_MATERIAL,BUILDING_OWNERSHIP,BUILDING_TYPE,CONSTRUCTION_STATUS,EXTRAS_TYPES,WINDOWS_TYPE,HEATING,SECURITY_TYPES,PRICE_PER_M2,DISTANCE_FROM_CITY_CENTER_KM,RESIDENTIAL_AREA,DISTRICT
0,secondary,private,800000.0,69.0,3,1930.0,floor_1,2.0,brick,full_ownership,tenement,ready_to_use,"basement, garden, usable_room",wooden,gas,"anti_burglary_door, entryphone",11594.2,4.25,Grabiszyn-Grabiszynek,Fabryczna
1,primary,agency,427699.0,39.12,1,2023.0,floor_2,2.0,unknown,unknown,apartment,to_completion,"garage, lift",unknown,urban,"monitoring, entryphone",10933.0,4.46,Gaj,Krzyki
2,primary,agency,494494.0,47.32,3,2023.0,floor_4,4.0,unknown,unknown,apartment,to_completion,"garage, lift",unknown,urban,entryphone,10450.0,4.46,Gaj,Krzyki
3,secondary,private,884400.0,66.0,3,2013.0,floor_2,3.0,breezeblock,full_ownership,block,ready_to_use,"balcony, basement, garage, lift, separate_kitchen",plastic,boiler_room,"anti_burglary_door, entryphone",13400.0,3.97,Gaj,Krzyki
4,primary,agency,379464.0,56.54,3,2023.0,floor_3,4.0,unknown,unknown,block,to_completion,garage,unknown,unknown,entryphone,6711.43,5.3,Gądów-Popowice Południowe,Fabryczna
5,primary,developer,1345877.0,103.42,5,2022.0,floor_7,9.0,unknown,full_ownership,unknown,to_completion,"garage, terrace, balcony, lift",unknown,unknown,closed_area,13013.7,2.01,Szczepin,Stare Miasto
6,primary,developer,870351.0,77.3,4,2022.0,ground_floor,9.0,unknown,full_ownership,unknown,to_completion,"garage, balcony, lift",unknown,unknown,closed_area,11259.39,2.01,Szczepin,Stare Miasto
7,primary,developer,798365.0,62.88,3,2022.0,floor_3,9.0,unknown,full_ownership,unknown,to_completion,"garage, balcony, lift",unknown,unknown,closed_area,12696.64,2.01,Szczepin,Stare Miasto
8,primary,developer,1206168.0,103.98,4,2024.0,floor_2,2.0,unknown,full_ownership,unknown,to_completion,"garage, two_storey, terrace, lift",unknown,unknown,closed_area,11600.0,6.1,Biskupin-Sępolno-Dąbie-Bartoszowice,Śródmieście
9,primary,developer,932484.0,52.86,3,2024.0,floor_1,6.0,unknown,full_ownership,unknown,to_completion,"garage, balcony, lift",unknown,unknown,0,17640.64,0.74,Stare Miasto,Stare Miasto
10,primary,developer,447185.0,52.61,3,2024.0,floor_1,2.0,unknown,full_ownership,unknown,to_completion,"garage, balcony, lift",unknown,unknown,0,8500.0,7.94,Psie Pole-Zawidawie,Psie Pole
11,primary,developer,756784.0,64.96,3,2024.0,ground_floor,2.0,unknown,full_ownership,unknown,to_completion,"garage, terrace, garden, lift",unknown,unknown,closed_area,11650.0,6.1,Biskupin-Sępolno-Dąbie-Bartoszowice,Śródmieście
12,primary,developer,524000.0,46.29,2,2023.0,ground_floor,7.0,unknown,full_ownership,unknown,to_completion,"garage, balcony, lift",unknown,unknown,closed_area,11319.94,2.01,Szczepin,Stare Miasto
13,primary,developer,847168.0,78.08,2,2022.0,floor_2,2.0,unknown,full_ownership,unknown,to_completion,"garage, two_storey, balcony, lift",unknown,unknown,closed_area,10850.0,6.1,Biskupin-Sępolno-Dąbie-Bartoszowice,Śródmieście
14,primary,developer,589382.0,46.34,1,2022.0,floor_6,9.0,unknown,full_ownership,unknown,to_completion,"garage, balcony, lift",unknown,unknown,closed_area,12718.64,2.01,Szczepin,Stare Miasto
15,primary,developer,371112.0,39.48,2,2024.0,floor_2,2.0,unknown,full_ownership,unknown,to_completion,"garage, balcony, lift",unknown,unknown,0,9400.0,7.94,Psie Pole-Zawidawie,Psie Pole
16,primary,developer,841360.0,64.72,3,2024.0,floor_3,5.0,unknown,full_ownership,unknown,to_completion,"balcony, lift",unknown,unknown,0,13000.0,1.9,Ołbin,Śródmieście
17,primary,developer,463000.0,39.15,1,2022.0,floor_1,12.0,unknown,full_ownership,unknown,to_completion,"garage, balcony, lift",unknown,unknown,0,11826.31,2.84,Szczepin,Stare Miasto
18,primary,developer,588560.0,42.04,2,2024.0,floor_1,5.0,unknown,full_ownership,unknown,to_completion,lift,unknown,unknown,0,14000.0,1.9,Ołbin,Śródmieście
19,secondary,agency,439000.0,52.8,2,1994.0,floor_10,12.0,unknown,full_ownership,block,ready_to_use,"balcony, basement, lift, separate_kitchen",plastic,urban,"entryphone, roller_shutters",8314.39,2.54,Powstańców Śląskich,Krzyki
20,secondary,agency,960000.0,71.5,3,2016.0,floor_4,4.0,unknown,full_ownership,block,ready_to_use,"balcony, garage, lift",unknown,urban,0,13426.57,0.91,Stare Miasto,Stare Miasto
21,secondary,agency,575000.0,50.6,3,2022.0,floor_1,4.0,breezeblock,unknown,block,unknown,"garage, lift",unknown,urban,0,11363.64,6.03,Jagodno,Krzyki
22,primary,agency,599000.0,50.2,2,2023.0,ground_floor,7.0,unknown,unknown,apartment,to_completion,"garage, lift",unknown,urban,"monitoring, entryphone",11932.27,2.13,Szczepin,Stare Miasto
23,primary,agency,476043.0,39.1,2,2023.0,floor_2,3.0,unknown,unknown,apartment,to_completion,"garage, lift",unknown,urban,"monitoring, entryphone",12175.01,7.68,Psie Pole-Zawidawie,Psie Pole
24,secondary,agency,465000.0,52.0,2,2010.0,floor_2,3.0,unknown,unknown,block,unknown,balcony,unknown,urban,0,8942.31,8.93,Psie Pole-Zawidawie,Psie Pole
25,secondary,agency,889000.0,64.89,3,2020.0,floor_3,3.0,unknown,full_ownership,block,ready_to_use,"balcony, basement, garage, lift, usable_room",unknown,urban,"alarm, monitoring",13700.11,0.91,Stare Miasto,Stare Miasto
26,secondary,agency,864000.0,71.0,4,2013.0,floor_4,3.0,unknown,unknown,block,ready_to_use,"balcony, lift",unknown,urban,"alarm, monitoring",12169.01,0.91,Stare Miasto,Stare Miasto
27,secondary,private,678106.0,47.5,2,2014.0,floor_5,6.0,silikat,full_ownership,apartment,ready_to_use,"balcony, garage, lift",plastic,urban,"closed_area, entryphone, monitoring",14275.92,3.02,Powstańców Śląskich,Krzyki
28,secondary,agency,849000.0,67.83,3,2019.0,floor_3,5.0,brick,full_ownership,block,ready_to_use,"air_conditioning, balcony, basement, garage, lift",plastic,urban,"anti_burglary_door, entryphone, monitoring",12516.59,3.61,Kleczków,Psie Pole
29,secondary,private,440000.0,40.0,2,2022.0,floor_1,2.0,unknown,full_ownership,block,ready_to_use,"balcony, garage",plastic,urban,"closed_area, entryphone",11000.0,7.94,Lipa Piotrowska,Psie Pole
30,secondary,private,740000.0,62.73,3,2016.0,floor_3,4.0,reinforced_concrete,full_ownership,apartment,ready_to_use,"balcony, garage, lift",plastic,boiler_room,"anti_burglary_door, closed_area, entryphone, monitoring",11796.59,4.23,Gaj,Krzyki
31,secondary,agency,780000.0,78.74,3,,floor_4,4.0,brick,full_ownership,tenement,ready_to_use,"basement, separate_kitchen",plastic,electrical,"anti_burglary_door, entryphone, monitoring",9906.02,1.83,Plac Grunwaldzki,Śródmieście
32,secondary,private,459000.0,47.7,2,1982.0,floor_2,4.0,concrete_plate,co_operative_ownership,block,ready_to_use,"balcony, basement, garage, separate_kitchen",plastic,urban,"closed_area, entryphone, monitoring",9622.64,8.85,Psie Pole-Zawidawie,Psie Pole
33,secondary,private,555000.0,62.9,3,1980.0,floor_3,7.0,concrete_plate,full_ownership,block,ready_to_use,"balcony, basement, lift, separate_kitchen, usable_room",plastic,urban,"anti_burglary_door, entryphone, monitoring",8823.53,5.23,Nowy Dwór,Fabryczna
34,primary,developer,485100.0,53.9,3,2023.0,floor_4,4.0,unknown,full_ownership,unknown,to_completion,"garage, balcony, lift",unknown,unknown,closed_area,9000.0,5.23,Polanowice-Poświętne-Ligota,Psie Pole
35,secondary,agency,564470.0,28.67,1,2023.0,floor_3,6.0,unknown,full_ownership,apartment,ready_to_use,"balcony, garage, lift",plastic,urban,monitoring,19688.52,2.27,Ołbin,Śródmieście
36,primary,agency,519000.0,43.99,2,2023.0,ground_floor,7.0,unknown,unknown,apartment,to_completion,"garage, lift",unknown,urban,"monitoring, entryphone",11798.14,2.13,Szczepin,Stare Miasto
37,secondary,agency,460000.0,37.5,2,2022.0,ground_floor,2.0,unknown,full_ownership,apartment,unknown,"garage, garden, lift",plastic,urban,"anti_burglary_door, entryphone, roller_shutters",12266.67,9.23,Maślice,Fabryczna
38,primary,developer,755258.0,85.84,4,2023.0,floor_2,6.0,unknown,full_ownership,unknown,to_completion,"garage, balcony, lift",unknown,unknown,0,8798.44,3.8,Kleczków,Psie Pole
39,primary,developer,1042458.0,83.9,5,2024.0,floor_1,4.0,unknown,full_ownership,unknown,to_completion,"garage, balcony, lift",unknown,unknown,0,12425.01,4.79,Grabiszyn-Grabiszynek,Fabryczna
40,secondary,private,810000.0,64.73,3,2021.0,floor_1,4.0,unknown,full_ownership,block,ready_to_use,"balcony, garage, lift, terrace",plastic,urban,"anti_burglary_door, closed_area, entryphone, monitoring",12513.52,6.39,Jagodno,Krzyki
41,secondary,agency,379000.0,42.0,2,1975.0,floor_2,10.0,concrete_plate,full_ownership,block,to_renovation,"balcony, basement, lift",plastic,urban,entryphone,9023.81,2.81,Gajowice,Fabryczna
42,primary,private,586505.0,57.22,3,2022.0,floor_2,2.0,breezeblock,full_ownership,apartment,to_completion,"balcony, garage, separate_kitchen, terrace, usable_room",plastic,boiler_room,"anti_burglary_door, entryphone, roller_shutters",10250.0,5.95,Muchobór Wielki,Fabryczna
43,primary,developer,616574.0,38.56,2,2023.0,floor_3,4.0,unknown,unknown,apartment,unknown,"balcony, garage, lift",unknown,unknown,entryphone,15989.99,5.88,Krzyki-Partynice,Krzyki
44,primary,developer,633294.0,67.95,3,2022.0,floor_1,4.0,silikat,full_ownership,block,to_completion,"balcony, garage, lift, usable_room",plastic,urban,"anti_burglary_door, entryphone, roller_shutters",9320.0,6.51,Kuźniki,Fabryczna
45,primary,developer,479000.0,37.46,2,2023.0,floor_4,4.0,other,full_ownership,block,ready_to_use,"balcony, garage, lift, terrace",plastic,urban,"anti_burglary_door, entryphone, monitoring",12786.97,2.27,Ołbin,Śródmieście
46,primary,developer,345000.0,24.51,1,2023.0,floor_3,4.0,other,full_ownership,block,ready_to_use,"balcony, garage, lift",plastic,urban,"anti_burglary_door, entryphone, monitoring",14075.89,2.27,Ołbin,Śródmieście
47,primary,agency,469393.0,35.9,2,2024.0,ground_floor,4.0,other,full_ownership,block,unknown,"balcony, garage, lift, usable_room",unknown,urban,0,13075.01,4.34,Krzyki-Partynice,Krzyki
48,primary,agency,563040.0,61.2,3,2023.0,floor_2,3.0,other,full_ownership,block,unknown,"garage, garden, lift",unknown,urban,"anti_burglary_door, entryphone",9200.0,5.37,Sołtysowice,Psie Pole
49,primary,agency,931095.0,81.0,5,2023.0,floor_3,4.0,other,full_ownership,block,unknown,"balcony, garage, lift",unknown,urban,0,11495.0,4.34,Krzyki-Partynice,Krzyki
50,primary,agency,490575.0,42.2,2,2023.0,ground_floor,5.0,other,full_ownership,block,unknown,"balcony, garage, lift",unknown,urban,"anti_burglary_door, closed_area, entryphone, monitoring",11625.0,6.62,Swojczyce-Strachocin-Wojnów,Psie Pole
51,primary,agency,419000.0,41.02,2,2023.0,floor_4,4.0,other,full_ownership,block,unknown,"garage, lift",unknown,urban,"anti_burglary_door, entryphone, monitoring",10214.53,9.61,Psie Pole-Zawidawie,Psie Pole
52,primary,developer,504960.0,38.4,2,2023.0,floor_1,3.0,unknown,full_ownership,unknown,to_completion,"garage, balcony, lift",unknown,unknown,closed_area,13150.0,6.18,Swojczyce-Strachocin-Wojnów,Psie Pole
53,secondary,agency,400000.0,36.85,2,1980.0,floor_7,9.0,concrete_plate,full_ownership,block,ready_to_use,"balcony, basement, lift",plastic,boiler_room,entryphone,10854.82,2.93,Gajowice,Fabryczna
54,secondary,private,420000.0,38.2,2,1975.0,floor_4,4.0,concrete_plate,full_ownership,block,ready_to_use,"balcony, basement",plastic,urban,entryphone,10994.76,4.25,Grabiszyn-Grabiszynek,Fabryczna
55,secondary,private,419500.0,35.0,2,1970.0,floor_6,10.0,concrete_plate,full_ownership,block,ready_to_use,"lift, separate_kitchen",plastic,urban,entryphone,11985.71,2.21,Powstańców Śląskich,Krzyki
56,primary,developer,732996.0,111.06,5,2022.0,floor_1,1.0,brick,full_ownership,unknown,to_completion,"balcony, garage, garden",plastic,gas,closed_area,6600.0,7.95,Lipa Piotrowska,Psie Pole
57,secondary,agency,395000.0,47.7,3,,floor_2,3.0,unknown,unknown,tenement,ready_to_use,0,plastic,urban,0,8280.92,5.26,Księże,Krzyki
58,secondary,private,659000.0,58.08,2,2012.0,floor_5,7.0,unknown,full_ownership,apartment,ready_to_use,"balcony, garage, lift, separate_kitchen",plastic,urban,"anti_burglary_door, closed_area, entryphone, monitoring, roller_shutters",11346.42,5.38,Krzyki-Partynice,Krzyki
59,primary,developer,733165.0,66.2,4,2022.0,ground_floor,3.0,unknown,full_ownership,unknown,to_completion,"garage, terrace, lift",unknown,unknown,closed_area,11075.0,6.18,Swojczyce-Strachocin-Wojnów,Psie Pole
60,secondary,agency,616000.0,61.42,2,1908.0,floor_3,4.0,brick,full_ownership,tenement,ready_to_use,"balcony, basement",plastic,urban,entryphone,10029.31,2.34,Powstańców Śląskich,Krzyki
61,secondary,agency,910000.0,64.35,3,2017.0,floor_2,6.0,silikat,full_ownership,apartment,unknown,"balcony, lift",plastic,urban,entryphone,14141.41,1.25,Nadodrze,Śródmieście
62,secondary,agency,459000.0,51.87,2,1980.0,floor_4,10.0,concrete_plate,full_ownership,block,unknown,"balcony, basement, lift",plastic,urban,"anti_burglary_door, entryphone",8849.05,3.47,Gaj,Krzyki
63,secondary,agency,790000.0,91.1,3,1914.0,floor_1,4.0,brick,full_ownership,tenement,unknown,basement,plastic,other,entryphone,8671.79,1.8,Ołbin,Śródmieście
64,secondary,agency,575000.0,59.0,3,1930.0,floor_2,4.0,unknown,full_ownership,tenement,unknown,"balcony, basement",plastic,gas,entryphone,9745.76,2.09,Kleczków,Psie Pole
65,secondary,agency,595000.0,54.1,3,1975.0,floor_5,10.0,unknown,unknown,block,unknown,"balcony, basement, lift",plastic,urban,entryphone,10998.15,3.95,Osobowice-Rędzin,Psie Pole
66,secondary,agency,777000.0,60.0,3,2015.0,floor_1,1.0,other,full_ownership,ribbon,unknown,"balcony, garage",plastic,boiler_room,entryphone,12950.0,5.19,Osobowice-Rędzin,Psie Pole
67,secondary,agency,645000.0,58.79,2,2014.0,ground_floor,2.0,other,full_ownership,apartment,to_completion,"garage, terrace",wooden,boiler_room,"anti_burglary_door, closed_area, entryphone, monitoring, roller_shutters",10971.25,4.91,Księże,Krzyki
68,secondary,agency,519000.0,58.37,2,1930.0,floor_1,4.0,brick,full_ownership,tenement,unknown,basement,plastic,urban,entryphone,8891.55,1.18,Przedmieście Oławskie,Krzyki
69,secondary,agency,389000.0,41.0,2,2022.0,floor_1,2.0,silikat,full_ownership,apartment,unknown,balcony,plastic,unknown,closed_area,9487.8,6.27,Swojczyce-Strachocin-Wojnów,Psie Pole
70,primary,agency,565600.0,62.64,4,2023.0,floor_3,4.0,unknown,full_ownership,apartment,to_completion,"balcony, garage, garden, lift, terrace, usable_room",plastic,urban,"anti_burglary_door, entryphone, monitoring",9029.37,6.52,Jagodno,Krzyki
71,primary,agency,531670.0,60.01,4,2023.0,floor_1,4.0,unknown,full_ownership,apartment,to_completion,"balcony, garage, garden, lift, terrace, usable_room",plastic,urban,"anti_burglary_door, entryphone, monitoring",8859.69,5.92,Wojszyce,Krzyki
72,primary,developer,650454.0,39.45,2,2024.0,floor_1,6.0,unknown,full_ownership,unknown,to_completion,"garage, lift",unknown,unknown,0,16488.06,0.74,Stare Miasto,Stare Miasto
73,primary,agency,584400.0,48.7,2,2023.0,floor_4,4.0,other,full_ownership,block,unknown,"balcony, lift",unknown,urban,0,12000.0,4.34,Krzyki-Partynice,Krzyki
74,primary,agency,622561.0,69.24,4,2022.0,floor_1,4.0,other,full_ownership,block,unknown,"garage, lift",unknown,urban,"anti_burglary_door, entryphone, monitoring",8991.35,9.61,Psie Pole-Zawidawie,Psie Pole
75,primary,agency,537155.0,58.45,3,2022.0,floor_1,4.0,other,full_ownership,block,unknown,"balcony, garage, lift",unknown,urban,"anti_burglary_door, entryphone, monitoring",9189.99,6.49,Jagodno,Krzyki
76,secondary,private,595000.0,57.2,3,1981.0,floor_3,4.0,unknown,co_operative_ownership_with_a_land_and_mortgage_registe,block,ready_to_use,"basement, separate_kitchen",plastic,urban,0,10402.1,5.98,Kuźniki,Fabryczna
77,primary,agency,639000.0,53.15,3,2023.0,ground_floor,5.0,unknown,unknown,unknown,unknown,"balcony, garage, usable_room",unknown,unknown,0,12022.58,2.02,Szczepin,Stare Miasto
78,primary,developer,499096.0,59.13,3,2022.0,ground_floor,2.0,unknown,full_ownership,unknown,to_completion,"garage, garden, lift",unknown,unknown,0,8440.66,8.14,Psie Pole-Zawidawie,Psie Pole
79,secondary,private,549000.0,39.1,2,2018.0,ground_floor,3.0,unknown,full_ownership,block,ready_to_use,"balcony, garage, lift",plastic,unknown,"entryphone, monitoring, roller_shutters",14040.92,6.21,Swojczyce-Strachocin-Wojnów,Psie Pole
80,secondary,private,505000.0,45.0,2,2021.0,floor_2,2.0,silikat,full_ownership,apartment,ready_to_use,balcony,plastic,boiler_room,"closed_area, entryphone",11222.22,9.17,Swojczyce-Strachocin-Wojnów,Psie Pole
81,primary,developer,732072.0,110.92,5,2022.0,floor_1,1.0,brick,full_ownership,unknown,to_completion,"balcony, garage, garden",plastic,gas,closed_area,6600.0,7.95,Lipa Piotrowska,Psie Pole
82,secondary,agency,509000.0,47.07,2,2015.0,ground_floor,2.0,other,full_ownership,block,ready_to_use,"garden, terrace",plastic,boiler_room,"anti_burglary_door, closed_area, entryphone, roller_shutters",10813.68,8.03,Maślice,Fabryczna
83,secondary,agency,499000.0,50.0,2,1980.0,floor_10,11.0,unknown,full_ownership,block,unknown,garage,plastic,urban,entryphone,9980.0,2.93,Gajowice,Fabryczna
84,secondary,agency,819900.0,60.0,2,1957.0,floor_1,3.0,brick,full_ownership,tenement,unknown,0,plastic,urban,entryphone,13665.0,0.17,Stare Miasto,Stare Miasto
85,secondary,agency,830000.0,64.32,3,2017.0,ground_floor,4.0,other,full_ownership,block,ready_to_use,"basement, garage, lift, terrace",plastic,boiler_room,"anti_burglary_door, closed_area, entryphone, roller_shutters",12904.23,10.53,Pracze Odrzańskie,Fabryczna
86,secondary,agency,560000.0,50.0,2,2008.0,ground_floor,4.0,other,full_ownership,block,ready_to_use,"balcony, lift",plastic,urban,entryphone,11200.0,4.22,Gaj,Krzyki
87,primary,agency,1213700.0,86.7,4,,floor_higher_10,16.0,unknown,full_ownership,apartment,to_completion,"balcony, garage, lift",plastic,urban,"anti_burglary_door, closed_area, entryphone",13998.85,1.8,Ołbin,Śródmieście
88,secondary,agency,899000.0,56.67,2,2010.0,ground_floor,2.0,other,full_ownership,apartment,unknown,"garage, garden",wooden,urban,"closed_area, entryphone",15863.77,3.64,Biskupin-Sępolno-Dąbie-Bartoszowice,Śródmieście
89,secondary,agency,890000.0,96.9,3,1995.0,floor_2,8.0,other,unknown,infill,unknown,"balcony, lift",plastic,urban,entryphone,9184.73,2.62,Plac Grunwaldzki,Śródmieście
90,secondary,agency,645000.0,60.2,3,2019.0,ground_floor,3.0,other,full_ownership,block,unknown,"garden, lift",plastic,boiler_room,"closed_area, entryphone, roller_shutters",10714.29,5.59,Sołtysowice,Psie Pole
91,secondary,agency,549000.0,42.33,2,2013.0,ground_floor,4.0,other,full_ownership,block,ready_to_use,"basement, garage, lift, terrace",plastic,urban,"anti_burglary_door, closed_area, entryphone, monitoring, roller_shutters",12969.53,3.85,Tarnogaj,Krzyki
92,primary,developer,875000.0,72.18,4,2022.0,floor_4,4.0,unknown,full_ownership,unknown,to_completion,"garage, balcony, lift",unknown,unknown,0,12122.47,4.79,Grabiszyn-Grabiszynek,Fabryczna
93,secondary,private,598000.0,49.7,3,1980.0,floor_7,10.0,concrete_plate,full_ownership,block,ready_to_use,"balcony, basement, lift, separate_kitchen",plastic,urban,entryphone,12032.19,3.36,Gaj,Krzyki
94,primary,agency,458000.0,61.07,3,2022.0,floor_2,6.0,silikat,full_ownership,block,to_completion,"balcony, garage, lift",plastic,gas,"anti_burglary_door, entryphone",7499.59,7.78,Lipa Piotrowska,Psie Pole
95,secondary,agency,760000.0,71.87,3,2018.0,ground_floor,1.0,silikat,full_ownership,house,ready_to_use,"garage, garden",unknown,gas,alarm,10574.65,6.82,Jagodno,Krzyki
96,secondary,agency,549000.0,51.9,2,,floor_1,4.0,concrete_plate,full_ownership,block,unknown,0,plastic,urban,0,10578.03,1.61,Szczepin,Stare Miasto
97,secondary,agency,634600.0,66.8,3,1996.0,floor_4,6.0,unknown,co_operative_ownership,block,unknown,balcony,wooden,urban,entryphone,9500.0,1.3,Przedmieście Świdnickie,Stare Miasto
98,secondary,agency,399000.0,31.13,1,2000.0,ground_floor,2.0,brick,full_ownership,block,ready_to_use,"balcony, basement, garage",unknown,urban,0,12817.22,5.86,Klecina,Krzyki
99,secondary,agency,640000.0,64.0,3,,ground_floor,7.0,unknown,unknown,unknown,ready_to_use,"balcony, garden, lift, terrace, usable_room",plastic,urban,monitoring,10000.0,3.53,Kleczków,Psie Pole
100,secondary,agency,480000.0,62.08,3,1928.0,ground_floor,1.0,unknown,full_ownership,house,ready_to_use,"basement, garage, garden, separate_kitchen",plastic,other,0,7731.96,5.77,Kuźniki,Fabryczna
101,secondary,agency,569999.0,53.62,3,2019.0,floor_3,5.0,unknown,full_ownership,block,ready_to_use,"balcony, garage, lift, usable_room",plastic,urban,monitoring,10630.34,5.08,Polanowice-Poświętne-Ligota,Psie Pole
102,secondary,agency,405000.0,36.27,2,2017.0,ground_floor,3.0,unknown,full_ownership,block,ready_to_use,"balcony, garage, garden, lift",unknown,urban,monitoring,11166.25,11.69,Pracze Odrzańskie,Fabryczna
103,secondary,agency,369000.0,47.06,2,1936.0,floor_1,2.0,brick,full_ownership,block,ready_to_use,"basement, separate_kitchen",plastic,gas,entryphone,7841.05,3.75,Karłowice-Różanka,Psie Pole
104,secondary,agency,517000.0,47.0,4,,floor_5,11.0,concrete_plate,full_ownership,block,unknown,"balcony, basement, lift",unknown,urban,entryphone,11000.0,3.27,Gaj,Krzyki
105,secondary,agency,440000.0,36.2,2,,floor_4,10.0,unknown,full_ownership,block,unknown,"basement, lift",unknown,urban,"anti_burglary_door, entryphone",12154.7,2.34,Gajowice,Fabryczna
106,secondary,agency,415000.0,45.26,2,,ground_floor,4.0,unknown,unknown,unknown,unknown,0,unknown,unknown,0,9169.24,5.92,Gądów-Popowice Południowe,Fabryczna
107,secondary,agency,659000.0,73.21,3,,floor_4,5.0,brick,full_ownership,tenement,unknown,balcony,unknown,unknown,0,9001.5,1.5,Przedmieście Świdnickie,Stare Miasto
108,primary,agency,653400.0,50.83,2,2024.0,floor_1,6.0,unknown,unknown,unknown,to_completion,balcony,plastic,unknown,0,12854.61,1.37,Ołbin,Śródmieście
109,primary,agency,669700.0,35.03,2,2024.0,floor_6,6.0,unknown,unknown,unknown,to_completion,"balcony, lift",plastic,unknown,"anti_burglary_door, entryphone",19117.9,1.37,Ołbin,Śródmieście
110,primary,developer,942378.0,53.43,3,2024.0,floor_1,6.0,unknown,full_ownership,unknown,to_completion,"garage, balcony, lift",unknown,unknown,0,17637.62,0.74,Stare Miasto,Stare Miasto
111,primary,agency,606184.0,55.49,1,2024.0,floor_1,1.0,silikat,full_ownership,apartment,to_completion,garage,unknown,unknown,0,10924.2,4.82,Wojszyce,Krzyki
112,secondary,private,599000.0,58.0,2,2008.0,floor_1,4.0,unknown,full_ownership,block,ready_to_use,0,plastic,other,0,10327.59,5.86,Ołtaszyn,Krzyki
113,secondary,agency,449000.0,42.1,2,2015.0,floor_1,5.0,unknown,co_operative_ownership,block,ready_to_use,"balcony, basement, usable_room",unknown,urban,0,10665.08,4.85,Krzyki-Partynice,Krzyki
114,primary,developer,467000.0,39.01,1,2022.0,floor_2,12.0,unknown,full_ownership,unknown,to_completion,"garage, balcony, lift",unknown,unknown,0,11971.29,2.84,Szczepin,Stare Miasto
115,primary,agency,618856.0,56.65,1,2024.0,floor_1,1.0,silikat,full_ownership,apartment,to_completion,garage,unknown,unknown,0,10924.2,4.82,Wojszyce,Krzyki
116,secondary,agency,625000.0,45.0,2,2017.0,ground_floor,6.0,unknown,full_ownership,block,ready_to_use,"balcony, lift",plastic,urban,0,13888.89,1.54,Przedmieście Świdnickie,Stare Miasto
117,secondary,agency,360000.0,45.7,2,1930.0,floor_3,4.0,unknown,full_ownership,tenement,to_renovation,separate_kitchen,plastic,tiled_stove,0,7877.46,1.69,Przedmieście Oławskie,Krzyki
118,secondary,agency,579312.0,38.88,2,2022.0,floor_7,7.0,unknown,full_ownership,apartment,unknown,"balcony, garage, lift, separate_kitchen",plastic,urban,alarm,14900.0,1.03,Stare Miasto,Stare Miasto
119,primary,developer,501942.0,25.23,1,2024.0,floor_2,6.0,unknown,full_ownership,unknown,to_completion,"garage, balcony, lift",unknown,unknown,0,19894.65,0.74,Stare Miasto,Stare Miasto
120,primary,agency,654518.0,68.5,4,2024.0,floor_1,1.0,silikat,full_ownership,apartment,to_completion,"balcony, garage",unknown,unknown,0,9555.01,4.82,Wojszyce,Krzyki
121,primary,agency,603453.0,55.24,2,2024.0,floor_1,1.0,silikat,full_ownership,apartment,to_completion,garage,unknown,unknown,0,10924.2,4.82,Wojszyce,Krzyki
122,primary,agency,707166.0,74.01,3,2024.0,ground_floor,1.0,silikat,full_ownership,apartment,to_completion,"garage, garden",unknown,unknown,0,9555.01,4.82,Wojszyce,Krzyki
123,secondary,agency,669000.0,67.1,3,2016.0,floor_1,2.0,unknown,full_ownership,block,ready_to_use,"balcony, lift, usable_room",unknown,urban,monitoring,9970.19,5.46,Wojszyce,Krzyki
124,primary,developer,557744.0,63.38,4,2023.0,floor_1,4.0,unknown,full_ownership,unknown,to_completion,"garage, balcony, lift",unknown,unknown,closed_area,8800.0,5.23,Polanowice-Poświętne-Ligota,Psie Pole
125,secondary,private,450000.0,57.0,2,1905.0,floor_3,3.0,brick,full_ownership,tenement,to_renovation,"basement, separate_kitchen",plastic,gas,entryphone,7894.74,12.75,Leśnica,Fabryczna
126,secondary,agency,595000.0,59.0,2,1997.0,floor_2,5.0,unknown,co_operative_ownership,unknown,ready_to_use,"basement, separate_kitchen, usable_room",unknown,urban,0,10084.75,1.16,Stare Miasto,Stare Miasto
127,secondary,private,819000.0,89.0,5,1997.0,ground_floor,3.0,brick,full_ownership,house,ready_to_use,"garage, garden, terrace",plastic,gas,"closed_area, entryphone",9202.25,4.24,Gaj,Krzyki
128,secondary,agency,569000.0,64.41,4,2000.0,floor_3,4.0,other,full_ownership,block,ready_to_use,"air_conditioning, balcony",plastic,gas,entryphone,8834.03,8.89,Psie Pole-Zawidawie,Psie Pole
129,secondary,agency,475000.0,37.78,1,2002.0,floor_1,7.0,unknown,full_ownership,apartment,ready_to_use,"balcony, basement, lift",plastic,boiler_room,entryphone,12572.79,1.72,Przedmieście Oławskie,Krzyki
130,secondary,agency,513000.0,49.8,3,1930.0,floor_2,5.0,brick,full_ownership,tenement,unknown,basement,plastic,gas,entryphone,10301.2,1.87,Powstańców Śląskich,Krzyki
131,secondary,agency,499000.0,29.96,2,2015.0,floor_1,4.0,unknown,full_ownership,block,unknown,"balcony, garage, lift",plastic,urban,entryphone,16655.54,6.64,Swojczyce-Strachocin-Wojnów,Psie Pole
