,MARKET_TYPE,USER_TYPE,PRICE,AREA,ROOMS_NUM,BUILD_YEAR,FLOOR_NUMBER,BUILDING_FLOORS_NUM,BUILDING_MATERIAL,BUILDING_OWNERSHIP,BUILDING_TYPE,CONSTRUCTION_STATUS,EXTRAS_TYPES,WINDOWS_TYPE,HEATING,SECURITY_TYPES,PRICE_PER_M2,DISTANCE_FROM_CITY_CENTER_KM,RESIDENTIAL_AREA,DISTRICT
3353,primary,agency,360000.0,45.57,2,2023.0,floor_2,2.0,unknown,full_ownership,unknown,unknown,"balcony, garage, usable_room",plastic,unknown,entryphone,7899.93,7.44,Psie Pole-Zawidawie,Psie Pole
3354,secondary,agency,489000.0,48.8,2,1993.0,floor_2,6.0,unknown,co_operative_ownership,infill,ready_to_use,"balcony, basement, lift, separate_kitchen",unknown,urban,"anti_burglary_door, entryphone",10020.49,1.78,Ołbin,Śródmieście
3355,primary,agency,354312.0,41.44,2,,floor_2,3.0,brick,full_ownership,block,to_completion,"balcony, garage, lift, usable_room",plastic,boiler_room,"anti_burglary_door, entryphone, roller_shutters",8550.0,6.45,Brochów,Krzyki
3356,secondary,agency,899000.0,103.0,5,1917.0,floor_3,5.0,brick,full_ownership,tenement,unknown,"balcony, basement, separate_kitchen",plastic,gas,0,8728.16,2.05,Ołbin,Śródmieście
3357,secondary,agency,679000.0,68.5,3,2012.0,floor_3,3.0,silikat,full_ownership,block,ready_to_use,"balcony, basement, garage, lift",plastic,boiler_room,"anti_burglary_door, entryphone, monitoring",9912.41,5.52,Wojszyce,Krzyki
3358,secondary,agency,400000.0,37.56,2,1967.0,floor_2,10.0,concrete_plate,full_ownership,block,ready_to_use,"basement, lift",wooden,urban,0,10649.63,2.4,Gajowice,Fabryczna
3359,primary,agency,456300.0,28.56,1,2024.0,ground_floor,6.0,unknown,unknown,apartment,unknown,lift,plastic,urban,0,15976.89,1.43,Ołbin,Śródmieście
3360,secondary,agency,729000.0,64.93,3,2016.0,floor_2,2.0,silikat,full_ownership,block,ready_to_use,"balcony, basement, garage, lift, terrace, usable_room",unknown,urban,0,11227.48,7.04,Muchobór Wielki,Fabryczna
3361,primary,agency,411584.0,40.89,2,2023.0,floor_2,4.0,unknown,full_ownership,unknown,unknown,"balcony, garage, lift, separate_kitchen",plastic,urban,entryphone,10065.64,6.06,Jagodno,Krzyki
3362,primary,agency,497450.0,59.4,4,2023.0,floor_1,4.0,unknown,full_ownership,unknown,unknown,"balcony, garage, lift, separate_kitchen",plastic,urban,entryphone,8374.58,5.87,Jagodno,Krzyki
3363,primary,agency,1315877.0,103.5,5,2022.0,floor_7,9.0,unknown,unknown,unknown,to_completion,"balcony, garage, lift, terrace",plastic,urban,0,12713.79,1.85,Szczepin,Stare Miasto
3364,primary,agency,580176.0,53.72,3,2023.0,floor_1,3.0,breezeblock,full_ownership,block,to_completion,"balcony, garage, lift, separate_kitchen",unknown,unknown,closed_area,10800.0,6.39,Jagodno,Krzyki
3365,primary,agency,601200.0,30.79,2,2024.0,floor_5,6.0,unknown,full_ownership,apartment,to_completion,"balcony, garage, lift",unknown,urban,"alarm, anti_burglary_door, closed_area, entryphone, monitoring",19525.82,1.76,Ołbin,Śródmieście
3366,primary,agency,715000.0,76.2,4,2022.0,floor_1,2.0,unknown,unknown,block,to_completion,"balcony, garage, lift",unknown,urban,monitoring,9383.2,6.42,Jagodno,Krzyki
3367,secondary,agency,560000.0,63.0,3,1981.0,floor_9,10.0,concrete_plate,co_operative_ownership_with_a_land_and_mortgage_registe,block,unknown,"balcony, basement, lift, separate_kitchen, usable_room",unknown,urban,0,8888.89,8.5,Psie Pole-Zawidawie,Psie Pole
3368,secondary,agency,578991.0,46.41,2,2018.0,floor_2,3.0,unknown,full_ownership,block,ready_to_use,"balcony, garage, lift",plastic,unknown,entryphone,12475.57,10.68,Jerzmanowo-Jarnołtów-Strachowice-Osiniec,Fabryczna
3369,primary,agency,877667.0,72.37,3,2024.0,floor_1,7.0,unknown,unknown,unknown,unknown,0,unknown,unknown,0,12127.5,2.93,Huby,Krzyki
3370,secondary,agency,849900.0,93.0,3,,floor_3,3.0,brick,unknown,tenement,ready_to_use,"garage, separate_kitchen",unknown,gas,0,9138.71,0.09,Stare Miasto,Stare Miasto
3371,secondary,agency,539000.0,63.8,3,,floor_4,4.0,unknown,full_ownership,block,unknown,"basement, separate_kitchen",unknown,gas,entryphone,8448.28,6.49,Brochów,Krzyki
3372,secondary,agency,990000.0,106.3,6,1887.0,floor_1,4.0,brick,full_ownership,tenement,unknown,basement,plastic,gas,entryphone,9313.26,1.47,Przedmieście Oławskie,Krzyki
3373,secondary,agency,570000.0,73.4,5,1986.0,floor_4,4.0,other,co_operative_ownership,block,unknown,"balcony, basement",plastic,urban,entryphone,7765.67,4.77,Osobowice-Rędzin,Psie Pole
3374,secondary,agency,799000.0,77.0,3,2008.0,floor_3,3.0,other,full_ownership,block,unknown,"balcony, two_storey",plastic,urban,entryphone,10376.62,4.35,Grabiszyn-Grabiszynek,Fabryczna
3375,secondary,agency,640000.0,64.0,3,1964.0,floor_1,4.0,brick,full_ownership,tenement,unknown,"balcony, basement",plastic,urban,entryphone,10000.0,3.41,Gajowice,Fabryczna
3376,secondary,agency,639000.0,62.6,3,2020.0,floor_2,3.0,silikat,full_ownership,block,ready_to_use,balcony,plastic,boiler_room,entryphone,10207.67,8.46,Lipa Piotrowska,Psie Pole
3377,secondary,agency,865000.0,96.54,4,1938.0,floor_3,4.0,brick,full_ownership,tenement,unknown,"air_conditioning, basement",wooden,urban,"entryphone, roller_shutters",8960.02,1.34,Przedmieście Oławskie,Krzyki
