PRICE,AREA,BUILD_YEAR,BUILDING_FLOORS_NUM,PRICE_PER_M2,DISTANCE_FROM_CITY_CENTER_KM,SECURITY_TYPES_0,SECURITY_TYPES_alarm,SECURITY_TYPES_anti_burglary_door,SECURITY_TYPES_closed_area,SECURITY_TYPES_entryphone,SECURITY_TYPES_monitoring,SECURITY_TYPES_roller_shutters,EXTRAS_TYPES_0,EXTRAS_TYPES_air_conditioning,EXTRAS_TYPES_balcony,EXTRAS_TYPES_basement,EXTRAS_TYPES_garage,EXTRAS_TYPES_garden,EXTRAS_TYPES_lift,EXTRAS_TYPES_separate_kitchen,EXTRAS_TYPES_terrace,EXTRAS_TYPES_two_storey,EXTRAS_TYPES_usable_room,MARKET_TYPE_primary,MARKET_TYPE_secondary,USER_TYPE_agency,USER_TYPE_developer,USER_TYPE_private,ROOMS_NUM_1,ROOMS_NUM_2,ROOMS_NUM_3,ROOMS_NUM_4,ROOMS_NUM_5,ROOMS_NUM_6,ROOMS_NUM_7,ROOMS_NUM_8,ROOMS_NUM_more,FLOOR_NUMBER_floor_1,FLOOR_NUMBER_floor_10,FLOOR_NUMBER_floor_2,FLOOR_NUMBER_floor_3,FLOOR_NUMBER_floor_4,FLOOR_NUMBER_floor_5,FLOOR_NUMBER_floor_6,FLOOR_NUMBER_floor_7,FLOOR_NUMBER_floor_8,FLOOR_NUMBER_floor_9,FLOOR_NUMBER_floor_higher_10,FLOOR_NUMBER_garret,FLOOR_NUMBER_ground_floor,BUILDING_MATERIAL_breezeblock,BUILDING_MATERIAL_brick,BUILDING_MATERIAL_cellular_concrete,BUILDING_MATERIAL_concrete,BUILDING_MATERIAL_concrete_plate,BUILDING_MATERIAL_other,BUILDING_MATERIAL_reinforced_concrete,BUILDING_MATERIAL_silikat,BUILDING_MATERIAL_unknown,BUILDING_OWNERSHIP_co_operative_ownership,BUILDING_OWNERSHIP_co_operative_ownership_with_a_land_and_mortgage_registe,BUILDING_OWNERSHIP_full_ownership,BUILDING_OWNERSHIP_share,BUILDING_OWNERSHIP_unknown,BUILDING_TYPE_apartment,BUILDING_TYPE_block,BUILDING_TYPE_house,BUILDING_TYPE_infill,BUILDING_TYPE_loft,BUILDING_TYPE_ribbon,BUILDING_TYPE_tenement,BUILDING_TYPE_unknown,CONSTRUCTION_STATUS_ready_to_use,CONSTRUCTION_STATUS_to_completion,CONSTRUCTION_STATUS_to_renovation,CONSTRUCTION_STATUS_unknown,WINDOWS_TYPE_aluminium,WINDOWS_TYPE_plastic,WINDOWS_TYPE_unknown,WINDOWS_TYPE_wooden,HEATING_boiler_room,HEATING_electrical,HEATING_gas,HEATING_other,HEATING_tiled_stove,HEATING_unknown,HEATING_urban,RESIDENTIAL_AREA_Bieńkowice,RESIDENTIAL_AREA_Biskupin-Sępolno-Dąbie-Bartoszowice,RESIDENTIAL_AREA_Borek,RESIDENTIAL_AREA_Brochów,RESIDENTIAL_AREA_Gaj,RESIDENTIAL_AREA_Gajowice,RESIDENTIAL_AREA_Grabiszyn-Grabiszynek,RESIDENTIAL_AREA_Gądów-Popowice Południowe,RESIDENTIAL_AREA_Huby,RESIDENTIAL_AREA_Jagodno,RESIDENTIAL_AREA_Jerzmanowo-Jarnołtów-Strachowice-Osiniec,RESIDENTIAL_AREA_Karłowice-Różanka,RESIDENTIAL_AREA_Klecina,RESIDENTIAL_AREA_Kleczków,RESIDENTIAL_AREA_Kowale,RESIDENTIAL_AREA_Krzyki-Partynice,RESIDENTIAL_AREA_Księże,RESIDENTIAL_AREA_Kuźniki,RESIDENTIAL_AREA_Leśnica,RESIDENTIAL_AREA_Lipa Piotrowska,RESIDENTIAL_AREA_Maślice,RESIDENTIAL_AREA_Muchobór Mały,RESIDENTIAL_AREA_Muchobór Wielki,RESIDENTIAL_AREA_Nadodrze,RESIDENTIAL_AREA_Nowy Dwór,RESIDENTIAL_AREA_Oporów,RESIDENTIAL_AREA_Osobowice-Rędzin,RESIDENTIAL_AREA_Ołbin,RESIDENTIAL_AREA_Ołtaszyn,RESIDENTIAL_AREA_Pawłowice,RESIDENTIAL_AREA_Pilczyce-Kozanów-Popowice Północne,RESIDENTIAL_AREA_Plac Grunwaldzki,RESIDENTIAL_AREA_Polanowice-Poświętne-Ligota,RESIDENTIAL_AREA_Powstańców Śląskich,RESIDENTIAL_AREA_Pracze Odrzańskie,RESIDENTIAL_AREA_Przedmieście Oławskie,RESIDENTIAL_AREA_Przedmieście Świdnickie,RESIDENTIAL_AREA_Psie Pole-Zawidawie,RESIDENTIAL_AREA_Sołtysowice,RESIDENTIAL_AREA_Stare Miasto,RESIDENTIAL_AREA_Swojczyce-Strachocin-Wojnów,RESIDENTIAL_AREA_Szczepin,RESIDENTIAL_AREA_Tarnogaj,RESIDENTIAL_AREA_Widawa,RESIDENTIAL_AREA_Wojszyce,RESIDENTIAL_AREA_Zacisze-Zalesie-Szczytniki,RESIDENTIAL_AREA_Świniary,RESIDENTIAL_AREA_Żerniki,DISTRICT_Fabryczna,DISTRICT_Krzyki,DISTRICT_Psie Pole,DISTRICT_Stare Miasto,DISTRICT_Śródmieście
800000.0,69.0,1930.0,2.0,11594.2,4.25,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
427699.0,39.12,2023.0,2.0,10933.0,4.46,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
494494.0,47.32,2023.0,4.0,10450.0,4.46,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
884400.0,66.0,2013.0,3.0,13400.0,3.97,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
379464.0,56.54,2023.0,4.0,6711.43,5.3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1345877.0,103.42,2022.0,9.0,13013.7,2.01,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
870351.0,77.3,2022.0,9.0,11259.39,2.01,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
798365.0,62.88,2022.0,9.0,12696.64,2.01,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1206168.0,103.98,2024.0,2.0,11600.0,6.1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
932484.0,52.86,2024.0,6.0,17640.64,0.74,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
