ID,SLUG,MARKET_TYPE,TRANSACTION_TYPE,ESTATE_CATEGORY,USER_TYPE,PRICE,AREA,ROOMS_NUM,BUILD_YEAR,FLOOR_NUMBER,BUILDING_FLOORS_NUM,BUILDING_MATERIAL,BUILDING_OWNERSHIP,BUILDING_TYPE,CONSTRUCTION_STATUS,EXTRAS_TYPES,EQUIPMENT_TYPES,WINDOWS_TYPE,RENT,HEATING,SECURITY_TYPES,COUNTRY,PROVINCE,SUBREGION,CITY,DISTRICT,SUBDISTRICT,STREET,LATITUDE,LONGITUDE
64010176,apartament-e1-83-37-m2-z-ogrodem-172-13-m2-ID4kzYc,primary,SELL,FLAT,developer,1039000.0,83.37,3,2024.0,ground_floor,2.0,,full_ownership,apartment,to_completion,"garage, garden, lift",,plastic,,,"anti_burglary_door, entryphone, roller_shutters",Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Osobowice,,ul. Jarocińska,51.143246,16.995974
64010162,apartament-e2-o-powierzchni-72-52-m2-2x-balkon-ID4kzXY,primary,SELL,FLAT,developer,879000.0,72.52,3,2024.0,floor_1,2.0,,full_ownership,apartment,to_completion,"balcony, garage, lift",,plastic,,,"anti_burglary_door, entryphone, roller_shutters",Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Osobowice,,ul. Jarocińska,51.143246,16.995974
64010099,najwiekszy-apartament-z-widokiem-i-tarasem-na-odre-ID4kzVX,primary,SELL,FLAT,agency,1408609.0,124.92,5,,floor_2,7.0,,full_ownership,apartment,,"balcony, garage, lift, terrace, usable_room",,,,urban,"anti_burglary_door, entryphone, roller_shutters",Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Śródmieście,,,51.11324,17.08127
64010092,3m-zielone-maslice-balkon-ID4kzVQ,primary,SELL,FLAT,agency,522215.0,54.98,3,2023.0,floor_1,2.0,,full_ownership,,,"garage, terrace, usable_room",,,,,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Maślice,,ul. Królewiecka,51.14981,16.92942
63965015,bardzo-ladne-nowe-gotowe-do-zamieszkania-bez-pcc-ID4kodN,secondary,SELL,FLAT,agency,489000.0,42.0,2,2022.0,floor_2,3.0,silikat,full_ownership,apartment,ready_to_use,"balcony, garage, lift","oven, stove",plastic,365.0,urban,"anti_burglary_door, closed_area, entryphone",Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Jagodno,,,51.05494,17.06005
64010087,w-pelni-wynajete-wysokie-roi-idealny-pod-airbnb-ID4kzVL,secondary,SELL,FLAT,agency,2097200.0,143.0,4,1905.0,floor_1,4.0,brick,full_ownership,tenement,ready_to_use,basement,"fridge, furniture, stove, washing_machine",plastic,740.0,other,entryphone,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Południe,,ul. Zygmunta Krasińskiego,51.10469,17.04273
64010086,3m-zielone-maslice-balkon-ID4kzVK,primary,SELL,FLAT,agency,624720.0,65.81,3,2023.0,floor_1,2.0,,full_ownership,,,"garage, terrace, usable_room",,,,,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Maślice,,ul. Królewiecka,51.14981,16.92942
64010085,3m-zielone-maslice-duzy-ogrod-ID4kzVJ,primary,SELL,FLAT,agency,644448.0,65.81,3,2023.0,ground_floor,2.0,,full_ownership,,,"garage, terrace, usable_room",,,,,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Maślice,,ul. Królewiecka,51.14981,16.92942
64010078,3m-zielone-maslice-taras-ID4kzVC,primary,SELL,FLAT,agency,633410.0,65.35,3,2023.0,floor_1,2.0,,full_ownership,,,"garage, terrace, usable_room",,,,,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Maślice,,ul. Królewiecka,51.14981,16.92942
64010079,3m-zielone-maslice-taras-ID4kzVD,primary,SELL,FLAT,agency,620350.0,65.35,3,2023.0,floor_2,2.0,,full_ownership,,,"garage, terrace, usable_room",,,,,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Maślice,,ul. Królewiecka,51.14981,16.92942
